EDIH Title,Country,x1,x2
Mittelstand-Digital Zentrum WertNetzWerke,Germany,1.104238635758375,0.8814494693931599
Robocoast EDIH Consortium,Finland,3.0218157107223673,0.5201492029536707
pro_digital EDIH,Germany,-0.7169747893443332,1.1609433443762964
EDUPARK Nonprofit Kft.,Hungary,-0.8218342439230405,1.4265625513864864
digihub.li – Ecosystem innovation and growth with a regenerative purpose,Liechtenstein,-1.0606446996907186,-0.26697121998885714
CETMA-Digital Innovation Hub for SMEs,Italy,3.660981563179639,-0.3257980743192046
CeADAR Ireland’s AI EDIH,Ireland,-0.28162708338605824,-1.1680436541815
INNOFEIT European Digital Innovation Hub: One-stop shop for digital and green transformation in the Republic of North Macedonia,North Macedonia,1.9534017920779745,-0.626421253757978
EDIH Anadolu,Türkiye,-0.3741397197015009,0.6464858702416708
Digital Innovation Unit,Albania,-0.5316723303501673,-0.5295319049818469
Cybersecurity and digital competencies,Hungary,-1.9986437848684238,-0.805600487155018
SEEU TechPark EDIH,North Macedonia,0.39500750146268476,-0.023698377005611716
FactoryxChange,Ireland,-0.8884539870929362,0.7867383998148367
Thessaloniki Innovation Ecosystem,Greece,-2.0408454518698185,-0.8260096761059487
Mittelstand-Digital Zentrum Hannover,Germany,-1.3180014149109631,0.16452603034981736
Mittelstand-Digital Zentrum Schleswig-Holstein,Germany,-0.1722632032943259,1.6784357797918164
Transferstelle Cybersicherheit im Mittelstand,Germany,-2.457570704465629,-0.23220186147711966
Consorzio Intellimech,Italy,-0.6585444684125624,1.5349525066170002
advanCed digitAl TeChnology Hub for the Life Sciences at MIND,Italy,-1.1421066495975836,-0.16191725801068596
Center for Innovative Healthcare,Slovakia,-1.8783940580475924,-0.5771974778053763
Intelligent Factory and Robotics Laboratory,Türkiye,-1.481444644490998,0.356868082394581
Mittelstand-Digital Zentrum Handel,Germany,-1.6278085984710222,0.28877483081254895
Tuscany EU Digital Innovation Hub,Italy,-0.4797651588335373,0.5709202722207752
Digital Innovation Hub of the Balearic Islands in Artificial Intelligence in Tourism and the Agrifood sectors,Spain,0.07124938288398294,-0.3742362373562797
"EDIH for crowd technology and AI for motion data analytics: Use of Internet of Things, FabLabs and access to finance for the green and digital transformation of the alpine tourism and sports industry",Austria,-1.004315139931614,-1.1948690575963983
CYBERsecurity 4 All STAkeholdeRs,Bulgaria,-0.6416577088520551,-1.0873998539045064
European Digital Innovation Hub Northern Netherlands,Netherlands,-1.2189173035780123,-0.6297353043379486
European Digital Innovation Hub Saxony,Germany,1.0228284414560345,0.07315293219011175
"EDIH innovATE – The European Digital Innovation Hub for Agrifood, Timber and Energy",Austria,-0.8648878350672249,1.2323957479266745
"Futures of Innovation Technologies EDIH - Centru Region, RO",Romania,-0.2819891729008385,-0.7066329991845327
Mittelstand-Digital Zentrum Bau,Germany,-0.20936079614127864,0.032372781425959625
Mittelstand-Digital Zentrum Magdeburg,Germany,-1.9328534347559554,0.11098427284650647
Digital Innovation Hub of Western Macedonia,Greece,-0.23035838318928298,-1.1997396567063852
FIWARE Space,Spain,-2.170873557749636,-0.6998223275893859
Accelerated Digitalisation of SMEs in the North Central Region through creation and development of an European Digital Innovation Hub,Bulgaria,-0.8714213537514999,0.4219195988248488
Smart Islands Hub,Portugal,-1.3455373096324377,-0.7965164280500487
Establishment of European Digital Innovation Hub (EDIH) in Lubelskie region Poland,Poland,-1.6164744380793539,0.4725730996226344
Smart Energy Digital Innovation Hub,Denmark,-2.052756389437297,-0.34407130306392864
National Ecosystem for Smart Technologies,Albania,-0.18779811658486956,-0.36655500357732795
Finnish AI Region,Finland,-1.8378042513038375,-0.5695788939616117
Location Innovation Hub,Finland,-0.34993149614469315,-0.4520734784357205
Creating Smart Secure Cities for EU citizens,Poland,-1.827829661836924,-0.7223357625678176
WaMa Innovation Hub,Poland,2.1994681800767295,-1.0563163553100066
"Smart, Sustainable and coheSive Digitalization conceived as a Digital Innovation Hub",Spain,0.24631900722043834,-0.29862562120633623
Digital Innovation Hub South Tyrol - DIS-HUB,Italy,0.469825095370278,0.6622063798889536
Win-Win European Digital Innovation Hub (WIN2EDIH),Ukraine,2.485546202625033,0.05799472415635162
AgrInnovate EDIH,Türkiye,1.8896517131148987,-1.022753161508096
Capital Innovation Point Serbia,Serbia,4.204492205415752,0.10883721724453407
Innovation and Training Park (ITP),Kosovo,0.5866499533142594,-1.0685485388711151
Digital innovation hub for supporting the digital transformation of Montenegrin companies and the public sector,Montenegro,0.7952381939883721,-1.9616492324919441
Digital Transformation and Green Transition of the Agri-Food Value Chain in Central and Northern Greece,Greece,-1.1067814303699495,-0.6167765925242158
Green Carpathian European Digital Innovation Hub,Ukraine,4.000287061364849,-0.9187604392160386
European Digital Innovation Hub DigitMak,North Macedonia,5.2216957464507665,-0.33538231361333526
Artificial Intelligence for DIGItal Transformation in Albania Innovation Hub,Albania,1.9307836422558087,-2.0466196624446638
"EDIH Bretagne - One-stop shop to accelerate the digitization and Cybersecurity of SMEs/MCs/PSOs through training, test before invest, support to find investment and EU networking services",France,1.3452431650512717,-0.2802477382944493
European Digital Innovation Hub “Kyiv HiTech”,Ukraine,4.2100178535799335,0.30042824444821725
Intelligent and Secure Trustable Systems enabling Digital Transformation,Ireland,-0.9248369801730477,-0.6540003665829891
"Public, private, people partnership Digital Innovation Hub",Slovenia,-0.0343505265688166,-0.7888068819060172
European Digital Innovation Hub of Navarre,Spain,1.3111813222919215,-0.570662625800068
InnDIH - Valencia Region Digital Innovation Hub,Spain,-0.15678635630788523,0.7765772511322764
Murcia Region DIH,Spain,-1.2741588693784627,0.13330983950436692
Science Technology Park Belgrade,Serbia,0.8406621043214324,-0.5813758794748568
Business Technology Incubator of Technical Faculties Belgrade,Serbia,1.2041849557686328,-0.15417203183720213
Digital Innovation Hub ONEX,Bosnia and Herzegovina,3.2363339843713446,-0.8712512492095593
Slovak Centre of Digital Innovations,Slovakia,1.227579893414498,1.7396674997074795
EXTREMADURA EDIH T4E: Tech for Efficiency,Spain,-0.6585834862923784,-0.2510285411526764
Centre of Innovation for Data Tech and Artificial Intelligence,Spain,1.927961234116683,-0.5615008648384819
Bayerische Gesellschaft für Innovation und Wissenstransfer mbH,Germany,0.7260652656188321,0.7732966164655205
DIGI2Health,Czechia,-0.40152275325926556,-0.46274137085639505
GreenPulse 5.0,Slovenia,1.686827752774568,1.3166203986752452
Digital Innovation Hub PANNONIA,Croatia,-0.5095238337477713,0.3094914045468984
Elektronikas un datorzinatnu instituts,Latvia,1.8428766921183728,1.303685549124414
European Open Science Cloud Digital Innovation Hub,Netherlands,0.4267373168929323,-1.1930722004456957
Union Farmers Parliament,Latvia,-1.6472091927019736,-0.25737742752545056
FIWARE Innova iHub,Italy,-1.5813000535930402,-0.49968220436428074
Green Digital Innovation HUB,Romania,2.814671554951901,0.011689991191557465
Innoskart Vállalkozásfejlesztési Nonprofit Kft,Hungary,2.8113498076587677,0.6829482883678544
Stichting Novel-T,Netherlands,2.51522391987488,1.3299819589207098
Plan4all z.s.,Czechia,0.24874241267700684,-0.7931256892936687
Digital Innovation Hub in Artificial Intelligence and Robotics for Sustainable Development Goals,Spain,3.4305981586029883,-0.08095982323015755
Smart Manufacturing Innovation Lean Excellence centre - Digital Innovation Hub,Italy,5.806922030567539,-0.21735348267100152
Fondazione Speedhub,Italy,1.2497742147370767,1.3561737368872286
Sunrise Valley Digital Innovation Hub,Lithuania,-0.19830134253946421,-0.02644246548896655
University of Valencia Science Park Foundation,Spain,1.076696467962853,-0.023681420109399262
"Develop, innovate and provide Next-Gen-BIoTech DIH`s services in the South-Center region in Bulgaria to accelerate the best use of digital technologies for local SMEs, Mid-cap, and public sector",Bulgaria,-1.6924033630711615,-0.491393739022818
Azores Digital Innovation Hub on Tourism and Sustainability,Portugal,3.487930139956286,-0.564854349783715
Unlocking the innovative potential of the South Central Region of Bulgaria and in the agricultural sector,Bulgaria,-1.2137542724951882,-0.3873256634932305
Andalucía Agrotech Digital Innovation Hub,Spain,-0.12630647040185647,0.8021812247769765
Asturias Digital Innovation Hub,Spain,1.0802826263592673,0.47694745956730433
Smart specialisation on advanced digitalisation technologies through Central Denmark European Digital Innovation Hub,Denmark,1.192434887876718,0.3078187448777695
Circular Health European Digital Innovation Hub,Italy,-1.5313328365794878,-0.5827522912402539
Cross-Industry Transformation in Agriculture and Health,Germany,-2.1810459549358296,-0.49930085144701253
CROatian Industry and Society BOosting – European Digital Innovation HUB,Croatia,0.5420465856140925,0.33642035340651816
Cantabria Digital Innovation Hub (DIH),Spain,1.6702026975044777,-0.05648230879921121
"Digital Innovation Hub for the deployment of Artificial Intelligence and Data Analytics in SMEs in the primary, biotechnological and health sectors",Spain,0.46584647348475067,-1.2795195487109927
DIH·bio (Digital Health - Biosciences),Spain,2.6880859383537232,-0.5321284797685853
Digital Valley Albania 1.0,Albania,0.07435208034855892,-1.868036080266542
Cyprus DIGital INNovation Hub,Cyprus,-2.050255246203546,-0.6472458714009294
HERITAGE SMARTLAB,Italy,0.3099981151808051,-0.8795291870715005
Mittelstand Digital Zentrum Tourismus,Germany,-2.002911954830223,-0.7325654394855116
"Smart Attica DIH, the Attica region - Greek Innovation hub for Artificial Intelligence in Energy and Environment, Supply chain and mobility, Culture and Tourism",Greece,-1.2113429397198858,-1.6713087232091295
EDI.it srl,Italy,-0.12922357931158576,-1.3340728636855554
veNEto hUb foR Advanced digital technoLogies,Italy,-1.9231976038107998,0.12151997822646994
Canary Islands Digital Innovation Hub,Spain,-1.9677595350399717,-0.6345790307282322
Mittelstand-Digital Zentrum Augsburg,Germany,-1.3931040971520676,0.4203420520333078
Slovak Artificial Intelligence Digital Innovation Hub,Slovakia,1.652650019366957,-1.9880123078525593
Technopark Kielce DIH,Poland,-0.6200078831960047,-0.39614605710876144
AddSmart - The European Digital Innovation Hub of North Denmark,Denmark,-1.7309845382137523,0.8324733885431963
AI EDIH Türkiye: AI-Enabled Manufacturing for Twin Transition,Türkiye,4.063397090902489,0.7670553223878687
"CentralUkrainianEDIH - Innovations, energy efficiency and digital transformation for the development of sustainable and industrial regions of central Ukraine",Ukraine,0.4976531570404617,0.529138155012736
"Digital Impulse Hub, Digital Made Easy in Catalonia",Spain,3.804095217306451,-1.2773997080939279
Networking for Technological-Stop European Digital Innovation Hubs,Türkiye,-2.02075983466838,0.4011689580558513
EDIH Ostrava,Czechia,0.552094984994435,0.006504018752595077
European Digital Innovation Hub Rheinland,Germany,-0.6814706502852813,0.535465143207137
European Digital Innovation Hub Suedwest,Germany,-0.6052561420513491,0.19128449324453764
EDIH SILESIA SMART SYSTEMS capacity building and deployment in the EDIH network to enhance digital transformation in the Silesia and Opolskie Voivodships in Poland,Poland,0.456177083988516,1.3013250403166603
European Digital Innovation Hub South Netherlands,Netherlands,-0.2953315318693263,1.9497269756284605
EXtended Piedmont and Aosta valley Network for Digitalization,Italy,0.5800045164286695,-0.016135557138177978
Expanding Digitalisation of Industry (4.0) in Slovakia,Slovakia,0.031233281710473116,1.9231296356542744
GreenPowerIT Hauts-de-France,France,2.0995983608537085,-0.4141153081336587
Mittelstand-Digital Zentrum Zukunftskultur,Germany,-1.7938403089225516,-0.31998120450602197
Mittelstand-Digital Zentrum Fokus Mensch,Germany,0.5900810963078185,0.31186471001981964
Mittelstand-Digital Zentrum Smarte Kreislaeufe,Germany,-0.5337510082158314,2.035557770814639
Mittelstand-Digital Zentrum Spreeland,Germany,-0.226210212653838,2.3331833474687156
Mittelstand-Digital Zentrum Ländliche Regionen,Germany,1.4135185562063792,1.3268928167123433
Mittelstand-Digital Zentrum Chemnitz,Germany,0.4356227289547947,1.6881589832853434
Mittelstand-Digital Zentrum Rheinland,Germany,-0.4970526064065268,1.991203358381743
Mittelstand-Digital Zentrum Saarbrücken,Germany,-0.10231544370681166,1.7648736011275983
STEPP Cluster / DUTIREG Nonprofit Kft,Hungary,0.4005183239630888,1.2330498126023173
Pannon Business Network Association,Hungary,0.7578392004658869,0.4570520402714249
Belgrade Robotics Hub,Serbia,-0.16571763749794283,1.349635331246854
Center for Technology Transfer and Innovations,North Macedonia,1.687936012024176,-0.1438238199271427
WRO4digITal European Digital Innovation Hub Wroclaw,Poland,-0.8722655442054013,0.7918670080169508
hub4industry,Poland,-0.337358773873968,1.5133847071879103
"SMART Manufacturing competence center ""Intechcentras""",Lithuania,2.383544481114138,1.7119863582081412
AIVHY ltd.,Malta,-0.6442542981972004,-0.04883517483675444
Connected Mobility Hub,Spain,-1.647790545479982,-0.5070315815611596
DIH Veneto,Italy,1.484951491966196,-0.4549553065052816
ECIPA,Italy,-0.8463270976561559,-0.5771356585860165
Flanders Make,Belgium,-0.2497442638574522,1.8300864215668697
DIH4GlobalAutomotive,Portugal,-1.3964367710913752,0.8266914051464651
Artificial Intelligence EDIH Hungary,Hungary,0.5708447586946614,-0.6851676862304081
Digital Innovation for Bavarian Industry,Germany,-1.0408093274480668,1.1224824165993248
EDIH Digital Innovation for Healthcare (DIGICARE),Germany,-0.778716253891985,0.754446681194303
EDIH Northern and Eastern Bohemia,Czechia,0.7804395572375685,1.0737945387949792
Establishing High Performance Computing European Digital Innovation Hub in Hungary,Hungary,2.0822298778197634,0.26729929969976585
"EDIH Applied Cyber Physical Systems for manufacturing, construction and automotive sectors",Austria,0.14526655511037578,1.555261493704531
DEvelop Digital Innovation Hub to Create and Accompany new Trends in European inDustries in Bourgogne-Franche-Comté,France,0.31471071278028606,-0.2808348762620526
European Digital Innovation Hub for Artificial Intelligence and Cybersecurity in Lower Saxony,Germany,-1.186271727776181,0.16192823094193518
Manufacturing Innovation Digital Advancement Services Hub,Türkiye,0.9315475635479349,1.4553758714660947
re_d: rethink digital - Central Poland Digitalisation Hub,Poland,-1.4536372530389003,0.028755052425018725
EDIH NWNL Digitalisation transformation on the road to AI and HPC,Netherlands,-1.239811834569346,0.051021195709474665
European Digital Innovation Hub Zagore - Synergy for Green Regional Digital Transformation of South-east region of Bulgaria],Bulgaria,-1.8111314424087428,-0.596403923777902
The European Digital Innovation Hub for digital trust and emerging digital technologies,Liechtenstein,-1.7939543337462043,-0.7858043928995692
European Digital Innovation Hub applied Artificial Intelligence and Cybersecurity,Germany,-1.3711559148794739,-0.7562457622715666
Hub for the Digital MObility TransformatION,Italy,-1.5790952962406786,-0.9284379762146627
POLO REGIONALE PER L'INNOVAZIONE DIGITALE EVOLUTA,Italy,-1.50315194293033,-0.9981885115971326
Digital Innovation Hub for Climate Neutrality,Portugal,-0.542582827811895,-0.6895123099087378
Digital Innovation Hub Normandy Advanced MObility,France,-0.5632731885844812,-0.9829391557900877
Digital Marine Hub,Italy,0.3403566340616627,-0.6690770162296338
Hungarian DATA EDIH,Hungary,-1.5459597896929194,0.4881832197252294
European Digital Innovation Hub Corsica.ai,France,-1.801742677860473,-0.6849482980655143
European Digital Innovation Hub Schleswig-Holstein,Germany,-0.00198314288941448,0.2184619282098312
Health Data Sweden,Sweden,-1.6727478349248803,-0.7309346268240294
HEALTH HUB - Healthcare & Pharmaceutical Industry Transformation through Artificial Intelligence Digital Services,Greece,-1.7398921357325134,-0.5819480664175672
HealthHub Finland - the future of Healthcare shaped by a Hub of partners facilitating data-driven digital solutions in Finland and Europe,Finland,-1.4833621432749025,-0.6949899005793932
"DIGITAL INNOVATION ZONE EDIH - MANUFACTURING & SMART HEALTH for better business, life and health in the North East Romania region",Romania,1.1200868224644573,0.8197099296382816
Artificial Intelligence for Smart Healthcare and Medicine,Croatia,-1.658655007293203,-0.3452422321933341
European Digital Innovation Hub for Smart Health: Precision Medicine and Innovative E-health Services,Greece,-1.8008815579926924,-1.0746657033537272
Digital Health Portugal - From Portugal to the Digital World,Portugal,-0.9918525976093061,-0.8660871644566555
"ConsTanta INNovation Hub, a center for the digital transformation of SMEs and PSOs in SE Romania - CiTyInnoHub",Romania,-0.6324017862966903,-1.531547794430664
"Digital Solutions for a Healthy, Active and Smart Life",Italy,-0.013919342527706102,-0.7747159598381168
DigIT Hub Sweden,Sweden,4.062229070247925,0.039011305557561354
Secure Digital Transformation of Public Administrations - EDIH4DT,Italy,-1.0306523973442439,-1.4132109090633118
Enabling Digital Transformation in Hesse,Germany,-1.1536332817385302,-1.3784966096278986
The Greek digital Government and Public Services innovation HUB,Greece,-2.2615734275515282,-0.8835070502797129
Italian National hub Enabling and Enhancing networked applications & Services for digitally Transforming SMEs and Public Administrations,Italy,-1.6109591660223714,-0.2360196415116531
Mittelstand-Digital Zentrum Franken,Germany,-0.56108973088905,1.194069795393493
Dutch Societal Innovation Hub,Netherlands,-1.8934617374179932,-0.217847525888125
AI4PA Portugal – Artificial Intelligence & Data Science for Public Administration Portugal Innovation Hub,Portugal,-2.0184784790349304,-0.648078415425039
European Digital Innovation Hub Thuringia,Germany,2.596754661754931,-1.1941201414378753
Aragon European Digital Innovation Hub,Spain,1.835913014529142,-0.4284279054170041
easyHPC@eco.plastics.industry.WCG:An open HPC ecosystem for the ecological transformation and the advancement of the competitiveness of the Plastic Industry in the Regions of West & Central Greece,Greece,0.35482029058391695,1.209647216511347
UDIH: Equip Explore Empower Expand Utilize,Bulgaria,0.7175892737476637,-0.31302363110477366
Agricultural EDIH,Hungary,-1.4422717870577397,-0.44996129004111707
Greater Copenhagen European Digital Innovation Hub,Denmark,-1.3994526001524534,-1.104244690108247
HPC4Poland European Digital Innovation Hub,Poland,-1.024541310489225,0.3679840155439683
The West Marmara Digital Transformation Initiative,Türkiye,6.298368375905714,-0.5659148899216628
Serbian European Digital Innovation Hub on AI,Serbia,2.326760616508438,-0.6272488599830635
Digital Innovation Value Accelerator,France,-0.7592582167080552,-0.5555224290361314
Zaporizhzhia European Digital Innovation Hub,Ukraine,2.8244581988275264,0.6531780499110725
Empower Sustainable Digital and Green Transformation in East Ukraine’s Key Economic Sectors,Ukraine,0.7777740745115205,0.7909500364588445
Brain 4 Industry (B4I),Czechia,-0.1070835392238658,1.6824385213475468
EUNITED Digital Hub,Ukraine,6.082710472219528,-0.5626832961692699
The European Digital Innovation Hub for the Greater Rotterdam-The Hague Area,Netherlands,-0.20293687527367663,0.43921328681811755
EDIH for urban interconnected supply and value Ecosystems,Germany,0.4553333142030724,-0.861132263455859
INFAB HUB,Spain,-0.9709689409024076,0.4376995292838109
"MOVE2DIGITAL, the French SUD Provence-Alpes-Côte d’Azur region one-stop-shop to support the digital transformation and ecosystem building of SMEs, through AI, Cybersecurity, and IoT",France,0.18965179000196358,-0.8325205178701967
Puglia Innovation Center for Safety and Security,Italy,-1.7557578155137028,-0.3468895392738303
Research and innovation Organization for the disseMination of knowledge on advanced tEchnologies  Digital Hub,Italy,3.2108028547834992,-0.7966222933187377
Creating a lever for a future-proof and sustainable economy for Brussels enabled by AI and other emerging digital technologies,Belgium,1.8845151966653666,-0.05523649992522916
INTERA Technology Park,Bosnia and Herzegovina,-2.7081160746093516,0.24992157324753408
Cineca Consorzio Interuniversitario,Italy,0.4684082469357791,-0.37435638798824405
CNA Emilia-Romagna,Italy,3.9588254429838794,-0.8244701054833379
Hub 4.0 of Manufacturing Sectors in  Valencian Region,Spain,-0.7824761990213238,1.03594111492668
Innovation Cluster Drachten,Netherlands,0.9313465081268256,1.2241629329502948
Jožef Stefan Institute,Slovenia,2.449870631616687,1.2303534860879548
SINTEF AS,Norway,5.144127935393119,-0.20470541492550817
Cybersecurity Innovation Hub,Spain,0.181883042710638,-1.280358988906751
"DIGIHALL, The Paris Region Hub supporting the digital transformation of companies by practical adoption of responsible AI",France,1.1381193314932785,-0.26200615943599015
Digital Innovation Hub for Artificial Intelligence and High-Performance Computing,Portugal,0.3996641011468018,-1.7854101104213493
Developing cybersecurty in the digital transition of European outermost regions,France,-2.35427865121491,-0.8031899369280098
Loire Valley Data Hub for Centre-Val de Loire region's digitalisation,France,0.6836173162380718,-1.3180056734982943
Apulian-EDIH,Italy,3.4888009452706887,0.6202583988330191
National Center for Secure Digital Transformation,Poland,1.2836078928204775,-2.143707034228606
Digital Hub for Automotive and Aerospace,Italy,0.3916409235119385,1.1462747188646427
Pollisia digital innovation hub,Ukraine,-0.7157734737848388,-0.7215093704722559
Digital Impact North - European Digital Innovation Hub,Sweden,5.563505033604211,-0.4101813571041811
LEAP EDIH: Empowering SMEs and Public Services through Digitalization and Cross-Sector Collaboration in Western Ukraine,Ukraine,1.6488636594450383,-2.0763177996193405
European Digital Innovation Hub Adriatic Croatia,Croatia,-0.7148343918326769,-0.9364003486873801
The creation of the Malta-EDIH as part of the network of European Digital Innovation Hubs,Malta,-1.4766218632158448,-0.5866163217009193
OCEANOPOLIS,Norway,1.533979467456362,0.5840925375232624
Mittelstand-Digital Zentrum Lingen.Münster.Osnarbrück,Germany,-1.448047986397814,0.083257152980403
FinTech Copernicus Hub,Poland,0.0034328078546362263,-0.9439424375455701
Mittelstand-Digital Zentrum Berlin,Germany,-0.5397775080330637,-0.6686378027799397
Mittelstand-Digital Zentrum Handwerk,Germany,-0.794289906864605,0.34092559443250503
DIGITAL INNOVATION HUB DEL LAZIO: CICERO HUB S.C.A R.L.,Italy,0.7465012584810479,0.10929504079576045
Institut de l'Elevage,France,-1.0623237329157509,-0.5432071920554142
Boosting Digitalisation in SouthWest of Bulgaria,Bulgaria,-0.41699048090463475,1.0215277386949986
Establishing a national EDIH in Iceland for digital transformation,Iceland,-1.3437539010274426,-0.692245280756655
Digital Innovation Ostbayern,Germany,-0.4777416915361756,0.04099801424198307
